CRCode,CRName,Latitude,Longitude
FRA,France,48.81380844,2.234999895
FRA,France,48.82104111,2.277179956
UKR,Ukraine,48.8225708,28.94070053
DEU,Germany,48.83776856,10.09329987
DEU,Germany,48.84085846,12.96068001
UKR,Ukraine,48.84661865,25.72620964
FRA,France,48.84720993,3.23232007
FRA,France,48.85340881,2.348799944
USA,United States,48.86138153,-122.6071091
UKR,Ukraine,48.8666687,37.6166687
CAN,Canada,48.87633896,-72.21202087
CAN,Canada,48.87646103,-72.22627258
FRA,France,48.88341141,2.238940001
SVK,Slovak Republic,48.88835907,21.68478966
UKR,Ukraine,48.88909149,26.85635948
UKR,Ukraine,48.88936997,36.31755066
FRA,France,48.89389038,2.288640022
FRA,France,48.89672089,2.256659985
UKR,Ukraine,48.90219116,24.84482002
UKR,Ukraine,48.90485001,38.44207001
UKR,Ukraine,48.90969849,37.02051163
FRA,France,48.91667175,2.383330107
UKR,Ukraine,48.91836166,24.65275002
UKR,Ukraine,48.92150116,24.70972061
RUS,Russian Federation,48.92264938,40.39672852
SVK,Slovak Republic,48.94464111,20.5615406
USA,United States,48.94644928,-101.8240891
FRA,France,48.94720841,3.083329916
UKR,Ukraine,48.94831848,38.49166107
MNG,Mongolia,48.96833038,89.96250153
CZE,Czech Republic,48.97446823,14.47434044
UKR,Ukraine,48.98836136,37.80224991
UKR,Ukraine,48.99089813,29.80470085
UKR,Ukraine,48.99620056,24.19747925
CAN,Canada,49.00003052,-72.54892731
UKR,Ukraine,49.0044899,29.42559052
DEU,Germany,49.00471878,8.385829926
UKR,Ukraine,49.00973129,33.64545822
UKR,Ukraine,49.01187134,24.3730793
UKR,Ukraine,49.01229096,38.37966919
DEU,Germany,49.01499939,12.09556007
UKR,Ukraine,49.01501083,38.30458069
UKR,Ukraine,49.01501846,31.0621109
CAN,Canada,49.03308868,-118.4356003
DEU,Germany,49.03417969,9.747489929
DEU,Germany,49.03684998,8.707449913
UKR,Ukraine,49.03704834,28.11200905
UKR,Ukraine,49.03717041,23.51346016
CAN,Canada,49.04905701,-122.2861176
SVK,Slovak Republic,49.05913162,20.07975006
CZE,Czech Republic,49.06253815,17.35083962
UKR,Ukraine,49.06253815,25.38797951
UKR,Ukraine,49.07263184,26.21409988
UKR,Ukraine,49.07717133,27.68255997
UKR,Ukraine,49.07865906,30.96754074
RUS,Russian Federation,49.08686066,140.2543335
UKR,Ukraine,49.09725189,33.4197197
UKR,Ukraine,49.10440826,25.91025925
FRA,France,49.10852051,1.441009998
UKR,Ukraine,49.10953903,28.68078041
SVK,Slovak Republic,49.153759,20.9638195
UKR,Ukraine,49.15410996,23.02967072
UKR,Ukraine,49.16373825,26.58394051
CAN,Canada,49.16633987,-123.9360123
CAN,Canada,49.18138123,-119.5526123
UKR,Ukraine,49.19385147,35.23942947
CAN,Canada,49.19468689,-123.0991135
CZE,Czech Republic,49.19522095,16.60795975
CHN,China,49.20000076,119.6999969
DEU,Germany,49.20145035,7.605289936
CAN,Canada,49.20677948,-122.9109192
UKR,Ukraine,49.20846176,39.58974838
CAN,Canada,49.20986939,-123.994812
UKR,Ukraine,49.22241974,31.88714027
CAN,Canada,49.23218918,-123.0241241
CAN,Canada,49.23242569,-123.023262
UKR,Ukraine,49.23278046,28.48097038
FRA,France,49.23332977,6.016670227
UKR,Ukraine,49.23458099,33.13613129
DEU,Germany,49.23540115,6.981649876
DEU,Germany,49.23847961,9.101799965
UKR,Ukraine,49.24544907,30.11020088
CAN,Canada,49.24966049,-123.119339
UKR,Ukraine,49.25865936,24.62775993
CAN,Canada,49.26582336,-123.2566299
CAN,Canada,49.26636124,-122.9526291
FRA,France,49.27070999,6.122489929
CAN,Canada,49.2752533,-122.9924698
FRA,France,49.27809906,1.943899989
UKR,Ukraine,49.27832031,38.91069031
UKR,Ukraine,49.2783699,23.50617981
CAN,Canada,49.28113937,-123.1258774
CAN,Canada,49.28178787,-123.1174316
CAN,Canada,49.28536224,-123.1157379
UKR,Ukraine,49.28672028,23.43238068
DEU,Germany,49.28998947,10.65970993
POL,Poland,49.29898834,19.94885063
